,precision,recall,f1-score,support
0,0.1557377049180328,0.1484375,0.152,128.0
1,0.006369426751592357,0.0125,0.008438818565400843,80.0
2,0.13458262350936967,0.14107142857142857,0.13775065387968613,1680.0
3,0.9825950094205229,0.9768044769301051,0.9796911869143891,87560.0
4,0.03925619834710744,0.15833333333333333,0.06291390728476821,120.0
accuracy,0.9579872275812791,0.9579872275812791,0.9579872275812791,0.9579872275812791
macro avg,0.26370819258932504,0.2874293477669734,0.26815891332884884,89568.0
weighted avg,0.9633716568029654,0.9579872275812791,0.9606205586716369,89568.0
