,precision,recall,f1-score,support
0,0.1601423487544484,0.703125,0.2608695652173913,128.0
1,0.0,0.0,0.0,80.0
2,0.16454081632653061,0.15357142857142858,0.15886699507389163,1680.0
3,0.9830765140393263,0.9712539972590224,0.9771294961135655,87560.0
4,0.11572327044025157,0.7666666666666667,0.2010928961748634,120.0
accuracy,0.9543921936405859,0.9543921936405859,0.9543921936405859,0.9543921936405859
macro avg,0.28469658991211133,0.5189234184994235,0.3195917905159424,89568.0
weighted avg,0.9645073369261944,0.9543921936405859,0.9588455439812963,89568.0
