,precision,recall,f1-score,support
0,0.20224719101123595,0.703125,0.3141361256544502,128.0
1,0.0,0.0,0.0,80.0
2,0.23541453428863868,0.13690476190476192,0.17312758750470458,1680.0
3,0.9824591416612493,0.9838168113293742,0.9831375077750071,87560.0
4,0.19111111111111112,0.7166666666666667,0.30175438596491233,120.0
accuracy,0.9662937656305823,0.9662937656305823,0.9662937656305823,0.9662937656305823
macro avg,0.32224639561444696,0.5081026479801605,0.35443112137981486,89568.0
weighted avg,0.9653943354238865,0.9662937656305823,0.9651973302762938,89568.0
