,precision,recall,f1-score,support
0,0.15855855855855855,0.6875,0.25768667642752563,128.0
1,0.0,0.0,0.0,80.0
2,0.2369439071566731,0.14583333333333334,0.18054532056005895,1680.0
3,0.9825361538285243,0.9792370945637278,0.980883850228227,87560.0
4,0.13676470588235295,0.775,0.23249999999999998,120.0
accuracy,0.9620400142908182,0.9620400142908182,0.9620400142908182,0.9620400142908182
macro avg,0.3029606650852218,0.5175140855794123,0.3303231694431623,89568.0
weighted avg,0.9653630610647796,0.9620400142908182,0.962959873605609,89568.0
