,precision,recall,f1-score,support
0,0.9180607715944008,0.9109078590785907,0.9144703281754804,2952.0
1,0.18092909535452323,0.11349693251533742,0.13949104618284636,652.0
2,0.9940897637899971,0.9158663269306154,0.9533762006624564,163264.0
3,0.9036048471564228,0.9941542782136207,0.9467193308212483,131036.0
4,0.9168356997971603,0.9112903225806451,0.9140546006066733,2976.0
accuracy,0.9481288221217761,0.9481288221217761,0.9481288221217761,0.9481288221217761
macro avg,0.7827040355385009,0.7691431438637618,0.773622301289741,300880.0
weighted avg,0.9514105961111183,0.9481288221217761,0.9479427589761334,300880.0
