,precision,recall,f1-score,support
0,0.7847624565469293,0.9176829268292683,0.8460337289194254,2952.0
1,0.006376659678546471,0.11196319018404909,0.012066115702479339,652.0
2,0.994339271222744,0.9155906997255978,0.9533415391679795,163264.0
3,0.9882119124920351,0.9941848041759517,0.991189360277558,131036.0
4,0.712938711367208,0.9146505376344086,0.8012952605239917,2976.0
accuracy,0.9480889391119384,0.9480889391119384,0.9480889391119384,0.9480889391119384
macro avg,0.6973258022614927,0.7708144317098551,0.7207852009182868,300880.0
weighted avg,0.9846903247177685,0.9480889391119384,0.9652281821143933,300880.0
