t,t+1,delta,tokenized_data
105595797504,105597894656,2097152,2097152
105597894656,105591603200,-6291456,-6291456
105591603200,105593700352,2097152,2097152
105593700352,105587408896,-6291456,-6291456
105587408896,105589506048,2097152,2097152
105589506048,105583214592,-6291456,-6291456
105583214592,105585311744,2097152,2097152
105585311744,105579020288,-6291456,-6291456
105579020288,105581117440,2097152,2097152
105581117440,105574825984,-6291456,-6291456
105574825984,105576923136,2097152,2097152
105576923136,105570631680,-6291456,-6291456
105570631680,105572728832,2097152,2097152
105572728832,105566437376,-6291456,-6291456
105566437376,105568534528,2097152,2097152
105568534528,105562243072,-6291456,-6291456
105562243072,105564340224,2097152,2097152
105564340224,105558048768,-6291456,-6291456
105558048768,105560145920,2097152,2097152
105560145920,105553854464,-6291456,-6291456
105553854464,105555951616,2097152,2097152
105555951616,105549660160,-6291456,-6291456
105549660160,105551757312,2097152,2097152
105551757312,105545465856,-6291456,-6291456
105545465856,105547563008,2097152,2097152
105547563008,105541271552,-6291456,-6291456
105541271552,105543368704,2097152,2097152
105543368704,105537077248,-6291456,-6291456
105537077248,105539174400,2097152,2097152
105539174400,105532882944,-6291456,-6291456
105532882944,105534980096,2097152,2097152
105534980096,105528688640,-6291456,-6291456
105528688640,105530785792,2097152,2097152
105530785792,105524494336,-6291456,-6291456
105524494336,105526591488,2097152,2097152
105526591488,105520300032,-6291456,-6291456
105520300032,105522397184,2097152,2097152
105522397184,105516105728,-6291456,-6291456
105516105728,105518202880,2097152,2097152
105518202880,105511911424,-6291456,-6291456
105511911424,105514008576,2097152,2097152
105514008576,105507717120,-6291456,-6291456
105507717120,105509814272,2097152,2097152
105509814272,105503522816,-6291456,-6291456
105503522816,105505619968,2097152,2097152
105505619968,105499328512,-6291456,-6291456
105499328512,105501425664,2097152,2097152
105501425664,105495134208,-6291456,-6291456
105495134208,105497231360,2097152,2097152
105497231360,105490939904,-6291456,-6291456
105490939904,105493037056,2097152,2097152
105493037056,105486745600,-6291456,-6291456
105486745600,105488842752,2097152,2097152
105488842752,105482551296,-6291456,-6291456
105482551296,105484648448,2097152,2097152
105484648448,105478356992,-6291456,-6291456
105478356992,105480454144,2097152,2097152
105480454144,105474162688,-6291456,-6291456
105474162688,105476259840,2097152,2097152
105476259840,105469968384,-6291456,-6291456
105469968384,105472065536,2097152,2097152
105472065536,105465774080,-6291456,-6291456
105465774080,105467871232,2097152,2097152
105467871232,105461579776,-6291456,-6291456
105461579776,105463676928,2097152,2097152
105463676928,105457385472,-6291456,-6291456
105457385472,105459482624,2097152,2097152
105459482624,105453191168,-6291456,-6291456
105453191168,105455288320,2097152,2097152
105455288320,105448996864,-6291456,-6291456
105448996864,105451094016,2097152,2097152
105451094016,105444802560,-6291456,-6291456
105444802560,105446899712,2097152,2097152
105446899712,105440608256,-6291456,-6291456
105440608256,105442705408,2097152,2097152
105442705408,105436413952,-6291456,-6291456
105436413952,105438511104,2097152,2097152
105438511104,105432219648,-6291456,-6291456
105432219648,105434316800,2097152,2097152
105434316800,105428025344,-6291456,-6291456
105428025344,105430122496,2097152,2097152
105430122496,105423831040,-6291456,-6291456
105423831040,105425928192,2097152,2097152
105425928192,105419636736,-6291456,-6291456
105419636736,105421733888,2097152,2097152
105421733888,105415442432,-6291456,-6291456
105415442432,105417539584,2097152,2097152
105417539584,105411248128,-6291456,-6291456
105411248128,105413345280,2097152,2097152
105413345280,105407053824,-6291456,-6291456
105407053824,105409150976,2097152,2097152
105409150976,105402859520,-6291456,-6291456
105402859520,105404956672,2097152,2097152
105404956672,105398665216,-6291456,-6291456
105398665216,105400762368,2097152,2097152
105400762368,105394470912,-6291456,-6291456
105394470912,105396568064,2097152,2097152
105396568064,105390276608,-6291456,-6291456
105390276608,105392373760,2097152,2097152
105392373760,105386082304,-6291456,-6291456
105386082304,105388179456,2097152,2097152
105388179456,105381888000,-6291456,-6291456
105381888000,105383985152,2097152,2097152
105383985152,105377693696,-6291456,-6291456
105377693696,105379790848,2097152,2097152
105379790848,105373499392,-6291456,-6291456
105373499392,105375596544,2097152,2097152
105375596544,105369305088,-6291456,-6291456
105369305088,105371402240,2097152,2097152
105371402240,105365110784,-6291456,-6291456
105365110784,105367207936,2097152,2097152
105367207936,105360916480,-6291456,-6291456
105360916480,105363013632,2097152,2097152
105363013632,105356722176,-6291456,-6291456
105356722176,105358819328,2097152,2097152
105358819328,105352527872,-6291456,-6291456
105352527872,105354625024,2097152,2097152
105354625024,105348333568,-6291456,-6291456
105348333568,105350430720,2097152,2097152
105350430720,105344139264,-6291456,-6291456
105344139264,105346236416,2097152,2097152
105346236416,105339944960,-6291456,-6291456
105339944960,105342042112,2097152,2097152
105342042112,105335750656,-6291456,-6291456
105335750656,105337847808,2097152,2097152
105337847808,105331556352,-6291456,-6291456
105331556352,105333653504,2097152,2097152
105333653504,105327362048,-6291456,-6291456
105327362048,105329459200,2097152,2097152
105329459200,105323167744,-6291456,-6291456
105323167744,105325264896,2097152,2097152
105325264896,105318973440,-6291456,-6291456
105318973440,105321070592,2097152,2097152
105321070592,105314779136,-6291456,-6291456
105314779136,105316876288,2097152,2097152
105316876288,105310584832,-6291456,-6291456
105310584832,105312681984,2097152,2097152
105312681984,105306390528,-6291456,-6291456
105306390528,105308487680,2097152,2097152
105308487680,105302196224,-6291456,-6291456
105302196224,105304293376,2097152,2097152
105304293376,105298001920,-6291456,-6291456
105298001920,105300099072,2097152,2097152
105300099072,105293807616,-6291456,-6291456
105293807616,105295904768,2097152,2097152
105295904768,105289613312,-6291456,-6291456
105289613312,105291710464,2097152,2097152
105291710464,105285419008,-6291456,-6291456
105285419008,105287516160,2097152,2097152
105287516160,105281224704,-6291456,-6291456
105281224704,105283321856,2097152,2097152
105283321856,105277030400,-6291456,-6291456
105277030400,105279127552,2097152,2097152
105279127552,105272836096,-6291456,-6291456
105272836096,105274933248,2097152,2097152
105274933248,105268641792,-6291456,-6291456
105268641792,105270738944,2097152,2097152
105270738944,105264447488,-6291456,-6291456
105264447488,105266544640,2097152,2097152
105266544640,105260253184,-6291456,-6291456
105260253184,105262350336,2097152,2097152
105262350336,105256058880,-6291456,-6291456
105256058880,105258156032,2097152,2097152
105258156032,105251864576,-6291456,-6291456
105251864576,105253961728,2097152,2097152
105253961728,105247670272,-6291456,-6291456
105247670272,105249767424,2097152,2097152
105249767424,105243475968,-6291456,-6291456
105243475968,105245573120,2097152,2097152
105245573120,105239281664,-6291456,-6291456
105239281664,105241378816,2097152,2097152
105241378816,105235087360,-6291456,-6291456
105235087360,105237184512,2097152,2097152
105237184512,105230893056,-6291456,-6291456
105230893056,105232990208,2097152,2097152
105232990208,105226698752,-6291456,-6291456
105226698752,105228795904,2097152,2097152
105228795904,105222504448,-6291456,-6291456
105222504448,105224601600,2097152,2097152
105224601600,105218310144,-6291456,-6291456
105218310144,105220407296,2097152,2097152
105220407296,105214115840,-6291456,-6291456
105214115840,105216212992,2097152,2097152
105216212992,105209921536,-6291456,-6291456
105209921536,105212018688,2097152,2097152
105212018688,105205727232,-6291456,-6291456
105205727232,105207824384,2097152,2097152
105207824384,105201532928,-6291456,-6291456
105201532928,105203630080,2097152,2097152
105203630080,105197338624,-6291456,-6291456
105197338624,105199435776,2097152,2097152
105199435776,105193144320,-6291456,-6291456
105193144320,105195241472,2097152,2097152
105195241472,105188950016,-6291456,-6291456
105188950016,105191047168,2097152,2097152
105191047168,105184755712,-6291456,-6291456
105184755712,105186852864,2097152,2097152
105186852864,105180561408,-6291456,-6291456
105180561408,105182658560,2097152,2097152
105182658560,105176367104,-6291456,-6291456
105176367104,105178464256,2097152,2097152
105178464256,105172172800,-6291456,-6291456
105172172800,105174269952,2097152,2097152
105174269952,105167978496,-6291456,-6291456
105167978496,105170075648,2097152,2097152
105170075648,105163784192,-6291456,-6291456
105163784192,105165881344,2097152,2097152
105165881344,105159589888,-6291456,-6291456
105159589888,105161687040,2097152,2097152
105161687040,105155395584,-6291456,-6291456
105155395584,105157492736,2097152,2097152
105157492736,105151201280,-6291456,-6291456
105151201280,105153298432,2097152,2097152
105153298432,105147006976,-6291456,-6291456
105147006976,105149104128,2097152,2097152
105149104128,105142812672,-6291456,-6291456
105142812672,105144909824,2097152,2097152
105144909824,105138618368,-6291456,-6291456
105138618368,105140715520,2097152,2097152
105140715520,105134424064,-6291456,-6291456
105134424064,105136521216,2097152,2097152
105136521216,105130229760,-6291456,-6291456
105130229760,105132326912,2097152,2097152
105132326912,105126035456,-6291456,-6291456
105126035456,105128132608,2097152,2097152
105128132608,105121841152,-6291456,-6291456
105121841152,105123938304,2097152,2097152
105123938304,105117646848,-6291456,-6291456
105117646848,105119744000,2097152,2097152
105119744000,105113452544,-6291456,-6291456
105113452544,105115549696,2097152,2097152
105115549696,105109258240,-6291456,-6291456
105109258240,105111355392,2097152,2097152
105111355392,105105063936,-6291456,-6291456
105105063936,105107161088,2097152,2097152
105107161088,105100869632,-6291456,-6291456
105100869632,105102966784,2097152,2097152
105102966784,105096675328,-6291456,-6291456
105096675328,105098772480,2097152,2097152
105098772480,105092481024,-6291456,-6291456
105092481024,105094578176,2097152,2097152
105094578176,105088286720,-6291456,-6291456
105088286720,105090383872,2097152,2097152
105090383872,105084092416,-6291456,-6291456
105084092416,105086189568,2097152,2097152
105086189568,105079898112,-6291456,-6291456
105079898112,105081995264,2097152,2097152
105081995264,105075703808,-6291456,-6291456
105075703808,105077800960,2097152,2097152
105077800960,105071509504,-6291456,-6291456
105071509504,105073606656,2097152,2097152
105073606656,105067315200,-6291456,-6291456
105067315200,105069412352,2097152,2097152
105069412352,105063120896,-6291456,-6291456
105063120896,105065218048,2097152,2097152
105065218048,105058926592,-6291456,-6291456
105058926592,105061023744,2097152,2097152
105061023744,105054732288,-6291456,-6291456
105054732288,105056829440,2097152,2097152
105056829440,105050537984,-6291456,-6291456
105050537984,105052635136,2097152,2097152
105052635136,105046343680,-6291456,-6291456
105046343680,105048440832,2097152,2097152
105048440832,105042149376,-6291456,-6291456
105042149376,105044246528,2097152,2097152
105044246528,105037955072,-6291456,-6291456
105037955072,105040052224,2097152,2097152
105040052224,105033760768,-6291456,-6291456
105033760768,105035857920,2097152,2097152
105035857920,105029566464,-6291456,-6291456
105029566464,105031663616,2097152,2097152
105031663616,105025372160,-6291456,-6291456
105025372160,105027469312,2097152,2097152
105027469312,105021177856,-6291456,-6291456
105021177856,105023275008,2097152,2097152
105023275008,105016983552,-6291456,-6291456
105016983552,105019080704,2097152,2097152
105019080704,105012789248,-6291456,-6291456
105012789248,105014886400,2097152,2097152
105014886400,105008594944,-6291456,-6291456
105008594944,105010692096,2097152,2097152
