,precision,recall,f1-score,support
0,0.1053864168618267,0.703125,0.18329938900203666,128.0
1,0.0,0.0,0.0,80.0
2,0.18506751389992057,0.1386904761904762,0.15855733242599526,1680.0
3,0.9831290120738801,0.9690041114664231,0.9760154605376677,87560.0
4,0.09394572025052192,0.75,0.16697588126159552,120.0
accuracy,0.9518913004644516,0.9518913004644516,0.9518913004644516,0.9518913004644516
macro avg,0.2735057326172299,0.5121639175313798,0.29696961264545907,89568.0
weighted avg,0.964836243617466,0.9518913004644516,0.9575941125256511,89568.0
