threshold,p,p',n/p ratio,ratio',upper limit for train/val accuracy,accuracy'
0,26252,0,59.710422063080905,59.710422063080905,0.0,0.0
1,6352,19900,246.77550377833754,187.06508171525664,0.012695866969310719,0.012695866969310719
2,3807,2545,411.7462568951931,164.97075311685555,0.01594303861263475,0.003247171643324033
3,2825,982,554.8736283185841,143.12737142339103,0.01782244286827966,0.0018794042556449092
4,2245,580,698.226280623608,143.35265230502387,0.019302489668380204,0.0014800468001005436
5,1913,332,819.4030318870883,121.17675126348036,0.020361488671900418,0.0010589990035202133
6,1648,265,951.1638349514564,131.76080306436802,0.02137583109093484,0.0010143424190344232
7,1469,179,1067.064669843431,115.90083489197457,0.02217518395323052,0.000799352862295679
8,1314,155,1192.9360730593608,125.87140321592983,0.02296624344983598,0.0007910594966054618
9,1186,128,1321.6846543001686,128.74858124080788,0.023701163240230735,0.0007349197903947537
10,1070,116,1464.970093457944,143.28543915777527,0.024441186640281005,0.0007400234000502701
11,967,103,1621.0113753877972,156.0412819298533,0.025163985357743897,0.0007227987174628914
12,908,59,1726.34140969163,105.33003430383269,0.02561565481225734,0.00045166945451344254
13,833,75,1881.7743097238895,155.43290003225957,0.02623765723902373,0.0006220024267663896
14,783,50,2001.9386973180076,120.16438759411812,0.02668422308388165,0.00044656584485792267
15,727,56,2156.145804676754,154.20710735874627,0.027220102097711158,0.0005358790138295065
16,690,37,2271.7652173913043,115.61941271455044,0.027597769212219573,0.00037766711450841484
17,654,36,2396.816513761468,125.05129637016353,0.027988195350866784,0.00039042613864721104
18,609,45,2573.92118226601,177.10466850454213,0.028504935828488093,0.0005167404776213087
19,575,34,2726.1182608695653,152.19707860355538,0.02891705230817126,0.00041211647968316875
20,550,25,2850.0327272727272,123.9144664031619,0.029236027911641205,0.0003189756034699433
21,526,24,2980.072243346008,130.03951607328054,0.02955755531993891,0.0003215274082977067
22,494,32,3173.113360323887,193.04111697787903,0.03000667296962459,0.00044911764968567913
23,470,24,3335.1446808510636,162.03132052717683,0.03035882203585541,0.00035214906623081896
24,446,24,3514.614349775785,179.4696689247212,0.030726281931052785,0.0003674598951973751
25,424,22,3696.9764150943397,182.36206531855487,0.031077155094869725,0.0003508731638169407
26,411,13,3813.912408759124,116.93599366478429,0.03129278260281541,0.00021562750794568153
27,394,17,3978.472081218274,164.55967245915008,0.03158560220680082,0.00029281960398541
28,378,16,4146.873015873016,168.40093465474183,0.03187140434750989,0.00028580214070907106
29,363,15,4318.231404958678,171.35838908566166,0.03214891312252874,0.0002775087750188504
30,352,11,4453.176136363636,134.94473140495847,0.0323594370208189,0.00021052389829016166
31,334,18,4693.167664670658,239.99152830702224,0.03271541379429136,0.0003559767734724606
32,329,5,4764.492401215805,71.32473654514706,0.03281748598740174,0.00010207219311037657
33,316,13,4960.5,196.00759878419467,0.03309116705517895,0.00027368106777721224
34,314,2,4992.095541401274,31.595541401274204,0.033134547737250865,4.338068207191542e-05
35,308,6,5089.3441558441555,97.24861444288126,0.03326851749070824,0.0001339697534573775
36,298,10,5260.127516778523,170.78336093436792,0.0334981799252066,0.00022966243449835944
37,295,3,5313.620338983051,53.49282220452733,0.03356899250917693,7.081258397032691e-05
38,292,3,5368.212328767123,54.59198978407221,0.033641718946768075,7.2726437591146e-05
39,288,4,5442.770833333333,74.5585045662101,0.033741239335050695,9.952038828262011e-05
40,286,2,5480.832167832168,38.061334498835095,0.03379227543160589,5.103609655519176e-05
41,281,5,5578.355871886121,97.52370405395322,0.03392305542902856,0.0001307799974226767
42,273,8,5741.824175824176,163.4683039380543,0.03413740703456037,0.00021435160553180677
43,269,4,5827.204460966543,85.38028514236703,0.03424713464215403,0.00010972760759365985
44,263,6,5960.144486692016,132.94002572547288,0.03441555376078616,0.00016841911863212794
45,261,2,6005.816091954023,45.67160526200769,0.03447296936941075,5.741560862459333e-05
46,260,1,6028.915384615385,23.099292661361687,0.03450231512492998,2.9345755519230576e-05
47,255,5,6147.129411764706,118.21402714932083,0.034652233658560856,0.00014991853363087448
48,253,2,6195.723320158103,48.593908393397214,0.03471347697442709,6.12433158662315e-05
49,251,2,6245.091633466135,49.36831330803216,0.034775996192707194,6.251921828010626e-05
