,precision,recall,f1-score,support
0,0.014039363195676936,0.7528409090909091,0.027564685996619424,704.0
1,0.0,0.0,0.0,120.0
2,0.9979612436413787,0.9931671705919797,0.9955584357319109,100544.0
3,0.08888888888888889,0.0008084074373484236,0.0016022431403965552,98960.0
4,0.008679190797811752,0.7513888888888889,0.017160166843766353,720.0
accuracy,0.5024073853010227,0.5024073853010227,0.5024073853010227,0.5024073853010227
macro avg,0.22191373730475122,0.4996410752018252,0.20837710634253867,201048.0
weighted avg,0.5429130976393071,0.5024073853010227,0.4988248885961164,201048.0
