,precision,recall,f1-score,support
0,0.040018452312305386,0.7052845528455285,0.07573938666375642,2952.0
1,0.0,0.0,0.0,652.0
2,0.9931052365628573,0.9148801940415523,0.9523891503117946,163264.0
3,0.0423654786862334,0.003701272932629201,0.006807781926391735,131036.0
4,0.02453042738579672,0.7170698924731183,0.047438034900522404,2976.0
accuracy,0.512057963307631,0.512057963307631,0.512057963307631,0.512057963307631
macro avg,0.22000391898943855,0.4681871824585656,0.21647487076049302,300880.0
weighted avg,0.5579662098858472,0.512057963307631,0.5209641219433224,300880.0
