,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2,0.9649122807017544,0.859375,0.9090909090909092,128.0
3,0.9696969696969697,0.8571428571428571,0.9099526066350709,112.0
4,0.8174603174603174,0.7152777777777778,0.762962962962963,144.0
5,1.0,0.75,0.8571428571428571,128.0
6,0.52,0.2708333333333333,0.35616438356164387,144.0
7,0.6892307692307692,0.3835616438356164,0.4928492849284927,584.0
8,0.7891156462585034,0.7837837837837838,0.7864406779661017,296.0
9,0.35537190082644626,0.20673076923076922,0.2613981762917933,208.0
10,0.6845637583892618,0.7083333333333334,0.6962457337883959,144.0
11,0.6051423324150597,0.46019553072625696,0.5228084093613645,2864.0
12,0.20833333333333334,0.11904761904761904,0.15151515151515152,168.0
13,0.08,0.013157894736842105,0.022598870056497175,304.0
14,0.8430962343096234,0.5247395833333334,0.6468699839486357,768.0
15,0.0,0.0,0.0,304.0
16,0.1111111111111111,0.0020161290322580645,0.0039603960396039604,496.0
17,0.0,0.0,0.0,120.0
18,0.0,0.0,0.0,112.0
19,0.15384615384615385,0.00819672131147541,0.01556420233463035,488.0
20,0.3125,0.056818181818181816,0.09615384615384615,440.0
21,0.1890909090909091,0.022549869904596703,0.04029445951181712,2306.0
22,0.25,0.075,0.11538461538461538,160.0
23,0.9227456039422149,0.9801127806554512,0.9505644424596738,405034.0
24,0.6804016620498615,0.3051242236024845,0.42131217838765006,12880.0
25,0.11538461538461539,0.016304347826086956,0.028571428571428574,184.0
26,0.05,0.005681818181818182,0.010204081632653062,176.0
27,0.16129032258064516,0.03537735849056604,0.058027079303675046,424.0
28,0.2,0.01997245179063361,0.03631809643080776,1452.0
29,1.0,0.037037037037037035,0.07142857142857142,216.0
30,0.16831683168316833,0.021464646464646464,0.03807390817469205,792.0
31,0.3116883116883117,0.05454545454545454,0.09284332688588007,440.0
32,0.273972602739726,0.040983606557377046,0.07130124777183601,488.0
33,0.11842105263157894,0.041666666666666664,0.06164383561643835,216.0
34,0.0,0.0,0.0,208.0
35,0.1111111111111111,0.017857142857142856,0.03076923076923077,168.0
36,0.015873015873015872,0.0023584905660377358,0.004106776180698152,424.0
37,0.2,0.02295918367346939,0.041189931350114416,392.0
38,0.2,0.006578947368421052,0.012738853503184712,152.0
39,0.0,0.0,0.0,584.0
40,0.0,0.0,0.0,312.0
41,0.0,0.0,0.0,344.0
42,0.839968774395004,0.7729885057471264,0.8050879161990274,1392.0
43,0.5915492957746479,0.1693548387096774,0.26332288401253917,248.0
44,0.7702227432590856,0.7747641509433962,0.7724867724867726,848.0
45,0.0,0.0,0.0,288.0
46,0.7290322580645161,0.3717105263157895,0.4923747276688453,304.0
47,0.9375,0.4861111111111111,0.6402439024390244,216.0
48,0.712,0.3272058823529412,0.44836272040302266,272.0
49,0.7467532467532467,0.3685897435897436,0.4935622317596567,312.0
50,0.6583797685383627,0.5892152564664621,0.6218803319934064,18248.0
51,0.7906976744186046,0.36637931034482757,0.5007363770250368,464.0
52,0.05405405405405406,0.011363636363636364,0.018779342723004695,176.0
53,0.6129032258064516,0.22265625,0.32664756446991405,256.0
54,0.7139588100686499,0.7090909090909091,0.7115165336374003,440.0
55,0.3448275862068966,0.10416666666666667,0.16,96.0
56,0.6615875265768958,0.5762345679012346,0.6159683272847245,3240.0
57,0.9009009009009009,0.5434782608695652,0.6779661016949153,184.0
58,0.7589376915219612,0.5247175141242938,0.6204592901878914,1416.0
59,0.7323481116584565,0.49776785714285715,0.5926910299003322,896.0
60,0.728,0.7583333333333333,0.7428571428571428,120.0
61,0.7112299465240641,0.4962686567164179,0.5846153846153846,536.0
62,0.7589928057553957,0.49764150943396224,0.6011396011396011,424.0
63,0.7981927710843374,0.7361111111111112,0.7658959537572254,360.0
64,0.7829787234042553,0.6052631578947368,0.6827458256029684,304.0
65,0.7093023255813954,0.5083333333333333,0.5922330097087379,120.0
66,0.7898550724637681,0.4007352941176471,0.5317073170731708,272.0
67,0.7166666666666667,0.645,0.6789473684210525,200.0
68,0.6834532374100719,0.625,0.6529209621993127,152.0
69,0.7439024390243902,0.38125,0.5041322314049587,160.0
70,0.9578947368421052,0.7583333333333333,0.8465116279069769,120.0
71,0.7783783783783784,0.6666666666666666,0.718204488778055,216.0
72,0.8993288590604027,0.6203703703703703,0.7342465753424657,216.0
73,0.801980198019802,0.6328125,0.7074235807860262,128.0
74,0.7976190476190477,0.4652777777777778,0.587719298245614,144.0
75,0.9178082191780822,0.6442307692307693,0.7570621468926555,104.0
76,0.859504132231405,0.6190476190476191,0.7197231833910034,168.0
77,0.6906474820143885,0.5714285714285714,0.6254071661237786,168.0
78,0.8571428571428571,0.6617647058823529,0.7468879668049793,136.0
79,0.8305084745762712,0.7205882352941176,0.7716535433070865,136.0
80,0.7300613496932515,0.53125,0.6149870801033591,224.0
81,0.7903225806451613,0.47115384615384615,0.5903614457831325,104.0
82,0.7,0.525,0.6,120.0
83,0.75,0.5735294117647058,0.65,136.0
84,0.8805970149253731,0.4609375,0.6051282051282051,128.0
accuracy,0.9018202497997853,0.9018202497997853,0.9018202497997853,0.9018202497997853
macro avg,0.539198402768965,0.36210603422931237,0.41608437707618245,469496.0
weighted avg,0.8770723387269083,0.9018202497997853,0.8843037243602342,469496.0
