,precision,recall,f1-score,support
0,0.0,0.0,0.0,128.0
1,0.0,0.0,0.0,80.0
2,0.14632627646326277,0.13988095238095238,0.14303104077906273,1680.0
3,0.9819978620328883,0.986192325262677,0.9840906241808838,87560.0
4,0.23529411764705882,0.03333333333333333,0.058394160583941604,120.0
accuracy,0.9667515183994284,0.9667515183994284,0.9667515183994284,0.9667515183994284
macro avg,0.272723651228642,0.23188132219539254,0.2371031651087776,89568.0
weighted avg,0.963042562501961,0.9667515183994284,0.9647895956263072,89568.0
