t,t+1,delta,tokenized_data
104292184064,104292188160,4096,4096
104292188160,104292192256,4096,4096
104292192256,104292196352,4096,4096
104292196352,104292200448,4096,4096
104292200448,104292204544,4096,4096
104292204544,104292208640,4096,4096
104292208640,104292212736,4096,4096
104292212736,104292216832,4096,4096
104292216832,104292220928,4096,4096
104292220928,104292225024,4096,4096
104292225024,104292229120,4096,4096
104292229120,104292233216,4096,4096
104292233216,104292237312,4096,4096
104292237312,104292241408,4096,4096
104292241408,104292245504,4096,4096
104292245504,104292249600,4096,4096
104292249600,104292253696,4096,4096
104292253696,104292257792,4096,4096
104292257792,104292261888,4096,4096
104292261888,104292265984,4096,4096
104292265984,104292270080,4096,4096
104292270080,104292274176,4096,4096
104292274176,104292278272,4096,4096
104292278272,104292282368,4096,4096
104292282368,104292286464,4096,4096
104292286464,104292290560,4096,4096
104292290560,104292294656,4096,4096
104292294656,104292298752,4096,4096
104292298752,104292302848,4096,4096
104292302848,104292306944,4096,4096
104292306944,104292311040,4096,4096
104292311040,104292315136,4096,4096
104292315136,104292319232,4096,4096
104292319232,104292323328,4096,4096
104292323328,104292327424,4096,4096
104292327424,104292331520,4096,4096
104292331520,104292335616,4096,4096
104292335616,104292339712,4096,4096
104292339712,104292343808,4096,4096
104292343808,104292347904,4096,4096
104292347904,104292352000,4096,4096
104292352000,104292356096,4096,4096
104292356096,104292360192,4096,4096
104292360192,104292364288,4096,4096
104292364288,104292368384,4096,4096
104292368384,104292372480,4096,4096
104292372480,104292376576,4096,4096
104292376576,104292380672,4096,4096
104292380672,104292384768,4096,4096
104292384768,104292388864,4096,4096
104292388864,104292392960,4096,4096
104292392960,104292397056,4096,4096
104292397056,104292401152,4096,4096
104292401152,104292405248,4096,4096
104292405248,104292409344,4096,4096
104292409344,104292413440,4096,4096
104292413440,104292417536,4096,4096
104292417536,104292421632,4096,4096
104292421632,104292425728,4096,4096
104292425728,104292429824,4096,4096
104292429824,104292433920,4096,4096
104292433920,104292438016,4096,4096
104292438016,104292442112,4096,4096
104292442112,104292446208,4096,4096
104292446208,104292450304,4096,4096
104292450304,104292454400,4096,4096
104292454400,104292458496,4096,4096
104292458496,104292462592,4096,4096
104292462592,104292466688,4096,4096
104292466688,104292470784,4096,4096
104292470784,104292474880,4096,4096
104292474880,104292478976,4096,4096
104292478976,104292483072,4096,4096
104292483072,104292487168,4096,4096
104292487168,104292491264,4096,4096
104292491264,104292495360,4096,4096
104292495360,104292499456,4096,4096
104292499456,104292503552,4096,4096
104292503552,104292507648,4096,4096
104292507648,104292511744,4096,4096
104292511744,104292515840,4096,4096
104292515840,104292519936,4096,4096
104292519936,104292524032,4096,4096
104292524032,104292528128,4096,4096
104292528128,104292532224,4096,4096
104292532224,104292536320,4096,4096
104292536320,104292540416,4096,4096
104292540416,104292544512,4096,4096
104292544512,104292548608,4096,4096
104292548608,104292552704,4096,4096
104292552704,104292556800,4096,4096
104292556800,104292560896,4096,4096
104292560896,104292564992,4096,4096
104292564992,104292569088,4096,4096
104292569088,104292573184,4096,4096
104292573184,104292577280,4096,4096
104292577280,104292581376,4096,4096
104292581376,104292585472,4096,4096
104292585472,104292589568,4096,4096
104292589568,104292593664,4096,4096
104292593664,104292597760,4096,4096
104292597760,104292601856,4096,4096
104292601856,104292605952,4096,4096
104292605952,104292610048,4096,4096
104292610048,104292614144,4096,4096
104292614144,104292618240,4096,4096
104292618240,104292622336,4096,4096
104292622336,104292626432,4096,4096
104292626432,104292630528,4096,4096
104292630528,104292634624,4096,4096
104292634624,104292638720,4096,4096
104292638720,104292642816,4096,4096
104292642816,104292646912,4096,4096
104292646912,104292651008,4096,4096
104292651008,104292655104,4096,4096
104292655104,104292659200,4096,4096
104292659200,104292663296,4096,4096
104292663296,104292667392,4096,4096
104292667392,104292671488,4096,4096
104292671488,104292675584,4096,4096
104292675584,104292679680,4096,4096
104292679680,104292683776,4096,4096
104292683776,104292687872,4096,4096
104292687872,104292691968,4096,4096
104292691968,104292696064,4096,4096
104292696064,104292700160,4096,4096
104292700160,104292704256,4096,4096
104292704256,104292708352,4096,4096
104292708352,104292712448,4096,4096
104292712448,104292716544,4096,4096
104292716544,104292720640,4096,4096
104292720640,104292724736,4096,4096
104292724736,104292728832,4096,4096
104292728832,104292732928,4096,4096
104292732928,104292737024,4096,4096
104292737024,104292741120,4096,4096
104292741120,104292745216,4096,4096
104292745216,104292749312,4096,4096
104292749312,104292753408,4096,4096
104292753408,104292757504,4096,4096
104292757504,104292761600,4096,4096
104292761600,104292765696,4096,4096
104292765696,104292769792,4096,4096
104292769792,104292773888,4096,4096
104292773888,104292777984,4096,4096
104292777984,104292782080,4096,4096
104292782080,104292786176,4096,4096
104292786176,104292790272,4096,4096
104292790272,104292794368,4096,4096
104292794368,104292798464,4096,4096
104292798464,104292802560,4096,4096
104292802560,104292806656,4096,4096
104292806656,104292810752,4096,4096
104292810752,104292814848,4096,4096
104292814848,104292818944,4096,4096
104292818944,104292823040,4096,4096
104292823040,104292827136,4096,4096
104292827136,104292831232,4096,4096
104292831232,104292835328,4096,4096
104292835328,104292839424,4096,4096
104292839424,104292843520,4096,4096
104292843520,104292847616,4096,4096
104292847616,104292851712,4096,4096
104292851712,104292855808,4096,4096
104292855808,104292859904,4096,4096
104292859904,104292864000,4096,4096
104292864000,104292868096,4096,4096
104292868096,104292872192,4096,4096
104292872192,104292876288,4096,4096
104292876288,104292880384,4096,4096
104292880384,104292884480,4096,4096
104292884480,104292888576,4096,4096
104292888576,104292892672,4096,4096
104292892672,104292896768,4096,4096
104292896768,104292900864,4096,4096
104292900864,104292904960,4096,4096
104292904960,104292909056,4096,4096
104292909056,104292913152,4096,4096
104292913152,104292917248,4096,4096
104292917248,104292921344,4096,4096
104292921344,104292925440,4096,4096
104292925440,104292929536,4096,4096
104292929536,104292933632,4096,4096
104292933632,104292937728,4096,4096
104292937728,104292941824,4096,4096
